Cloud with a total of 3 clusters.
intracluster-distance (maximum): 20.7966.
32.9 14.7 3
33.3 14.5 3
33.8 14.5 3
9.2 22.35 2
10.9 22.35 2
12.45 22.3 2
13.95 22.05 2
14.65 20.3 2
13.15 20.8 2
11.6 20.95 2
10.25 21.25 2
9.2 20.8 2
8.05 21.55 2
7.15 19.9 2
8.55 20 2
8.5 19.2 2
7.35 18.3 2
8.25 16.65 2
8.95 18 2
9.6 18.85 2
9.65 19.75 2
10.2 20.25 2
10.9 20.3 2
12.15 20 2
11.25 19.75 2
10.8 19.6 2
10.4 19.55 2
10.65 19.35 2
10.3 19.15 2
10.95 19.1 2
10.6 18.85 2
10.05 18.1 2
10.35 16.9 2
10.05 15.9 2
11.15 18.1 2
12.1 18.75 2
13.2 19.2 2
11.5 17.1 2
12.65 17.65 2
14.45 18.35 2
13.9 16.7 2
12.6 15.8 2
15.95 20.75 2
16.95 21.6 2
17.9 21.95 2
19 22.7 2
20.45 22.75 2
19.1 21.7 2
20.4 21.4 2
21.95 21.9 2
18.65 20.7 2
17.75 20.55 2
17.05 19.85 2
15.75 19.45 2
15.75 18.25 2
16.35 16.9 2
17.2 15.9 2
17.9 17 2
17.3 17.75 2
17 18.9 2
17.8 18.65 2
17.85 19.5 2
18.5 19.9 2
19.1 19.95 2
19.55 20.55 2
20.1 19.9 2
19.55 19.3 2
18.95 19.3 2
18.55 19.2 2
18.45 18.85 2
18.85 18.9 2
19.2 18.8 2
18.75 18.55 2
18.3 18.1 2
19.1 17.8 2
19 16.75 2
18.75 15.5 2
19.65 18.2 2
20.1 18.95 2
21.25 20.4 2
21.45 19 2
20.9 17.9 2
20.25 17.2 2
20.1 15.4 2
21.4 15.95 2
22.2 17.15 2
11.4 12.55 1
12.05 12.75 1
12.7 13 1
13.35 13.05 1
14.2 12.95 1
15.05 12.95 1
15.6 12.95 1
16.1 13.1 1
15.95 12.6 1
15.4 12.45 1
14.65 12.4 1
13.85 12.4 1
13.15 12.2 1
12.65 12.4 1
11.9 12.1 1
12 11.5 1
12.65 11.65 1
13.4 11.65 1
14.1 11.7 1
14.6 11.8 1
15.2 11.95 1
15.05 11.55 1
14.45 11.2 1
13.95 10.9 1
13.05 11.1 1
13.55 10.65 1
12.45 10.9 1
13.2 10.25 1
11.25 11.1 1
11.25 11.85 1
10.7 12.25 1
10.05 11.85 1
10.6 11.6 1
9.75 11.35 1
10.4 10.9 1
9.75 10.6 1
9.75 9.8 1
10.35 10.2 1
10.9 10.4 1
11.7 10.55 1
12.4 10.1 1
12.9 9.7 1
12.35 9.65 1
11.85 10 1
11.15 9.8 1
10.65 9.55 1
10.1 9.25 1
10.75 9 1
11.1 9.3 1
11.7 9.4 1
12.15 9.1 1
12.85 9.05 1
12.45 8.7 1
11.95 8.25 1
11.7 8.85 1
11.3 8.5 1
11.55 7.95 1
12.9 8.5 1
13.25 8.05 1
12.65 7.95 1
12.1 7.6 1
11.65 7.35 1
12.2 7 1
11.8 6.65 1
12.65 7.3 1
13.2 7.55 1
13.65 7.75 1
14.35 7.55 1
13.8 7.3 1
13.35 6.85 1
12.7 6.7 1
12.45 6.25 1
13.2 5.85 1
13.65 6.25 1
14.1 6.75 1
14.7 6.9 1
15 7.5 1
15.85 7.3 1
15.35 7.05 1
15.1 6.35 1
14.45 6.3 1
14.75 5.75 1
13.95 5.8 1
15.5 5.9 1
15.8 6.4 1
16.05 6.85 1
16.55 7.1 1
16.7 6.5 1
16.25 6.1 1
17.05 6.25 1
15.85 11.55 1
15.9 12.1 1
16.3 11.65 1
16.55 12.05 1
16.5 12.6 1
16.75 13.1 1
17.5 13 1
17.15 12.65 1
17.1 12.1 1
16.9 11.7 1
17.4 11.65 1
17.55 12.1 1
17.75 12.65 1
18.3 12.75 1
18.25 12.25 1
18 11.95 1
17.85 11.5 1
18.3 11.65 1
18.6 12 1
18.85 12.45 1
19.1 11.8 1
18.85 11.45 1
18.5 11.15 1
18.95 10.8 1
19.3 11.15 1
19.4 10.7 1
19.25 10.35 1
19.9 10.6 1
19.65 10.15 1
19.45 9.75 1
19.9 9.45 1
20.3 10.05 1
20.65 10.35 1
21.25 10.1 1
20.9 9.9 1
21.65 9.65 1
21.15 9.35 1
20.5 9.4 1
19.5 9.2 1
19.95 8.85 1
20.65 8.8 1
21.2 8.7 1
21.9 8.85 1
21.75 8.25 1
21.65 7.8 1
21.05 8 1
20.3 8.2 1
19.4 8.7 1
19.6 8.05 1
18.95 8.1 1
20 7.6 1
20.55 7.55 1
21.25 7.25 1
20.85 6.85 1
20.25 7.05 1
19.55 7.05 1
19.05 7.45 1
18.35 7.6 1
17.85 7.3 1
18.3 7.1 1
18.95 6.85 1
19.6 6.25 1
20.15 6.45 1
18.8 6.25 1
18.35 6.55 1
17.65 6.55 1
17.25 6.9 1
17.95 6.2 1
17.45 9.85 1
17.2 9.25 1
17 9.6 1
17 10.05 1
16.45 10.1 1
16.5 9.8 1
16.6 9.45 1
16.6 9.05 1
15.9 9 1
16.05 9.35 1
16.05 9.65 1
15.85 9.95 1
15.35 9.9 1
15.6 9.45 1
15.3 9.15 1
15.1 9.55 1
