Cloud with a total of 15 clusters.
intracluster-distance (maximum): 1.6813.
11.392 8.94 8
11.212 8.308 8
16.674 9.638 7
16.162 10.302 7
16.612 10.218 7
16.1 9.702 7
16.404 10.072 7
15.93 10.106 7
16.128 9.888 7
16.41 10.188 7
15.982 9.92 7
16.224 10.02 7
16.296 9.458 7
16.586 10.174 7
16.314 10.716 7
16.278 9.452 7
16.622 9.652 7
16.22 9.494 7
16.626 10.162 7
16.982 10.596 7
16.27 10.128 7
16.202 9.7 7
16.532 9.776 7
17.124 9.726 0
16.47 9.698 7
16.004 10.28 7
16.366 9.796 7
16.268 9.522 7
16.13 9.748 7
16.67 10.498 7
16.488 10.542 7
16.57 10.21 7
16.456 10.112 7
16.482 9.986 7
16.584 9.754 7
16.1 9.93 7
16.226 9.67 7
16.448 9.566 7
16.572 9.624 7
16.436 9.41 7
16.502 9.98 7
16.418 9.966 7
14.362 14.644 6
14.138 14.63 6
14.064 15.072 6
13.692 14.958 6
14.238 15.296 6
13.73 15.128 6
13.952 14.868 6
13.986 14.77 6
13.916 14.996 6
13.874 14.954 6
14.168 15.276 6
14.278 15.152 6
14.098 14.9 6
13.764 15.212 6
13.948 14.218 6
14.13 14.838 6
13.362 14.932 6
13.546 14.844 6
14.13 15.11 6
13.816 14.602 6
14.386 14.686 6
13.786 14.726 6
14.204 14.822 6
13.856 15.206 6
14.074 14.384 6
13.68 14.988 6
14.204 14.976 6
13.388 15.39 0
13.708 15.048 6
14.114 15.366 6
14.4 15.04 6
14.194 15.04 6
13.888 15.436 6
13.958 15.322 6
13.922 14.802 6
13.652 14.602 6
14.294 14.996 6
13.81 14.526 6
13.408 15.34 0
13.834 14.778 6
8.826 16.474 5
8.33 16.488 5
8.468 16.378 5
8.904 15.846 5
8.662 16.354 5
8.684 16.776 5
8.33 16.066 5
8.904 16.402 5
8.778 16.486 5
8.81 16.458 5
8.398 16.576 5
8.542 15.918 5
9.064 16.456 5
9.152 16.094 5
8.614 15.908 5
8.566 17.012 5
8.12 16.11 5
8.844 16.026 5
8.398 16.282 5
8.808 15.59 5
8.502 16.166 5
8.942 16.19 5
8.376 16.112 5
8.518 15.84 5
8.878 16.004 5
8.582 16.774 5
8.248 16.154 5
8.588 16.24 5
8.706 16.374 5
8.524 16.392 5
8.458 16.452 5
8.83 16.36 5
8.616 16.112 5
8.844 16.362 5
8.468 15.928 5
8.62 16.674 5
8.974 16.53 5
8.826 16.084 5
8.104 15.962 5
8.386 16.24 5
4.576 12.878 4
4.46 13.16 4
3.632 12.862 4
4.238 12.506 4
4.348 13.268 4
3.788 12.372 4
4.19 12.772 4
3.86 12.706 4
3.978 13.308 4
4.336 12.854 4
4.218 13.03 4
4.25 13.002 4
4.334 13.06 4
4.654 12.566 4
4.38 12.792 4
3.968 13.016 4
4.614 12.526 4
3.95 12.67 4
4.038 12.67 4
4.426 12.238 4
4.066 12.514 4
4.248 12.392 4
4.61 12.95 4
4.328 12.99 4
4.5 12.522 4
4.176 12.71 4
4.492 12.464 4
4.134 12.834 4
4.316 12.764 4
4.454 12.084 4
4.052 12.934 4
4.26 13.118 4
4.058 13.718 4
4.24 12.626 4
3.838 12.232 4
4.128 13.4 4
3.764 12.38 4
4.424 13.186 4
4.234 12.994 4
5.13 13.296 0
3.9 6.742 3
3.994 7.206 3
4.278 7.222 3
4.172 6.848 3
3.882 6.894 3
3.936 6.994 3
4.162 6.87 3
3.762 7.1 3
4.256 7.612 3
4.55 6.822 3
4.062 6.984 3
4.026 7.23 3
4.364 7.184 3
4.292 7.208 3
4.288 6.91 3
4.018 7.062 3
4.07 7.104 3
4.548 7.654 3
4.402 7.082 3
3.692 7.49 3
4.888 7.194 3
4.456 7.146 3
4.732 7.154 3
4.088 7.212 3
4.502 6.928 3
3.402 7.434 3
4.246 6.692 3
4.166 7.256 3
4.852 6.83 3
4.398 7.428 3
5.016 7.054 3
4.25 6.76 3
3.738 7.082 3
4.254 7.264 3
4.122 7.238 3
3.878 7.232 3
4.55 7.29 3
4.03 7.126 3
4.412 7.022 3
4.276 7.244 3
8.376 3.788 2
8.81 3.864 2
8.218 3.548 2
8.374 3.748 2
8.102 4.3 2
8.386 3.952 2
8.858 3.274 2
8.884 3.504 2
8.294 3.38 2
8.38 3.178 2
8.738 4.294 0
9.1 3.84 2
9.086 3.6 2
8.616 3.45 2
8.624 3.698 2
8.632 3.82 2
8.286 3.704 2
8.816 3.58 2
8.722 3.854 2
8.298 3.378 2
9.014 4.034 2
8.87 3.554 2
8.562 3.662 2
8.6 3.828 2
8.94 3.836 2
8.768 4.32 0
8.838 3.926 2
8.288 3.466 2
8.652 3.782 2
8.376 3.956 2
7.724 3.414 0
8.374 4.136 2
8.6 3.712 2
9.026 3.788 2
8.534 3.252 2
8.874 3.602 2
8.796 3.888 2
8.592 3.988 2
8.98 4.014 2
8.562 3.856 2
13.894 4.16 0
14.278 5.26 1
14.364 4.748 1
14.108 4.918 1
13.998 5.498 1
14.4 5.296 1
14.3 5.368 1
13.958 5.35 1
13.842 4.984 1
13.85 4.246 0
13.978 5.356 1
14.366 5.104 1
14.272 4.94 1
14.336 5.176 1
14.744 5.248 1
14.306 5.06 1
13.986 5.05 1
14.44 5.33 1
14.004 4.92 1
13.332 4.592 1
14.218 5.544 1
14.154 4.768 1
13.468 4.92 1
13.67 5.406 1
13.664 5.016 1
14.12 4.87 1
13.836 4.51 0
14.204 5.064 1
14.004 5.228 1
13.266 4.858 1
13.668 5.34 1
14.528 4.812 1
14.318 4.592 1
14.018 5.182 1
14.37 4.884 1
14.198 4.804 1
14.32 4.59 1
13.636 5.218 1
14.41 4.656 1
14.02 5.614 1
